GENERATION,TIME,ACCURACY

original,6657,0.41826744186046505

0,8047,0.4490612244897962

1,6822,0.4413826530612247

2,7373,0.49412755102040823

3,7069,0.5385918367346938

4,8427,0.5561666666666666

5,9094,0.602555

6,8565,0.6259132653061223

7,8347,0.6170149999999999

8,9789,0.6513950000000002

9,9772,0.64424

10,11751,0.663575

11,9577,0.6550102040816327

12,11292,0.6729599999999999

13,11943,0.667335

14,12794,0.6613150000000002

15,13322,0.6391400000000002

16,13901,0.6523750000000001

17,13686,0.657325

18,15038,0.6701150000000001

19,14779,0.653345

20,14923,0.65764

21,17890,0.70186

22,17731,0.68258

23,20256,0.6932900000000001

24,21169,0.683065

25,22273,0.70099

26,21578,0.68735

27,22382,0.690625

28,20622,0.6624100000000002

29,23023,0.6964049999999999

